ticker,groupe,pea
HD,USA - S&P500,0
HON,USA - S&P500,0
HRL,USA - S&P500,0
HST,USA - S&P500,0
HWM,USA - S&P500,0
HPQ,USA - S&P500,0
HUBB,USA - S&P500,0
HUM,USA - S&P500,0
HBAN,USA - S&P500,0
HII,USA - S&P500,0
IBM,USA - S&P500,0
IEX,USA - S&P500,0
IDXX,USA - S&P500,0
ITW,USA - S&P500,0
INCY,USA - S&P500,0
IR,USA - S&P500,0
PODD,USA - S&P500,0
INTC,USA - S&P500,0
ICE,USA - S&P500,0
IFF,USA - S&P500,0
IP,USA - S&P500,0
IPG,USA - S&P500,0
INTU,USA - S&P500,0
ISRG,USA - S&P500,0
IVZ,USA - S&P500,0
INVH,USA - S&P500,0
IQV,USA - S&P500,0
IRM,USA - S&P500,0
JBHT,USA - S&P500,0
JBL,USA - S&P500,0
JKHY,USA - S&P500,0
J,USA - S&P500,0
JNJ,USA - S&P500,0
JCI,USA - S&P500,0
JPM,USA - S&P500,0
JNPR,USA - S&P500,0
K,USA - S&P500,0
KVUE,USA - S&P500,0
KDP,USA - S&P500,0
KEY,USA - S&P500,0
KEYS,USA - S&P500,0
KMB,USA - S&P500,0
KIM,USA - S&P500,0
KMI,USA - S&P500,0
KLAC,USA - S&P500,0
KHC,USA - S&P500,0
KR,USA - S&P500,0
LHX,USA - S&P500,0
LH,USA - S&P500,0
LRCX,USA - S&P500,0
LW,USA - S&P500,0
LVS,USA - S&P500,0
LDOS,USA - S&P500,0
LEN,USA - S&P500,0
LIN,USA - S&P500,0
LYV,USA - S&P500,0
LKQ,USA - S&P500,0
LMT,USA - S&P500,0
L,USA - S&P500,0
LOW,USA - S&P500,0
LULU,USA - S&P500,0
LYB,USA - S&P500,0
MTB,USA - S&P500,0
MRO,USA - S&P500,0
MPC,USA - S&P500,0
MKTX,USA - S&P500,0
MAR,USA - S&P500,0
MMC,USA - S&P500,0
MLM,USA - S&P500,0
MAS,USA - S&P500,0
MA,USA - S&P500,0
MTCH,USA - S&P500,0
MKC,USA - S&P500,0
MCD,USA - S&P500,0
MCK,USA - S&P500,0
MDT,USA - S&P500,0
MET,USA - S&P500,0
MTD,USA - S&P500,0
MGM,USA - S&P500,0
MCHP,USA - S&P500,0
MU,USA - S&P500,0
MSFT,USA - S&P500,0
MAA,USA - S&P500,0
MRNA,USA - S&P500,0
MHK,USA - S&P500,0
MOH,USA - S&P500,0
TAP,USA - S&P500,0
MDLZ,USA - S&P500,0
MPWR,USA - S&P500,0
MNST,USA - S&P500,0
MCO,USA - S&P500,0
MS,USA - S&P500,0
MOS,USA - S&P500,0
MSI,USA - S&P500,0
MSCI,USA - S&P500,0
NDAQ,USA - S&P500,0
NTAP,USA - S&P500,0
NFLX,USA - S&P500,0
NWS,USA - S&P500,0
NWSA,USA - S&P500,0
NEM,USA - S&P500,0
NEE,USA - S&P500,0
NKE,USA - S&P500,0
NI,USA - S&P500,0
NDSN,USA - S&P500,0
NSC,USA - S&P500,0
NTRS,USA - S&P500,0
NOC,USA - S&P500,0
NCLH,USA - S&P500,0
NRG,USA - S&P500,0
NUE,USA - S&P500,0
NVDA,USA - S&P500,0
NVR,USA - S&P500,0
NXPI,USA - S&P500,0
ORLY,USA - S&P500,0
OXY,USA - S&P500,0
ODFL,USA - S&P500,0
OMC,USA - S&P500,0
ON,USA - S&P500,0
OKE,USA - S&P500,0
ORCL,USA - S&P500,0
OTIS,USA - S&P500,0
PCAR,USA - S&P500,0
PKG,USA - S&P500,0
PANW,USA - S&P500,0
PH,USA - S&P500,0
PAYX,USA - S&P500,0
PAYC,USA - S&P500,0
PYPL,USA - S&P500,0
PNR,USA - S&P500,0
PEP,USA - S&P500,0
PFE,USA - S&P500,0
PCG,USA - S&P500,0
PM,USA - S&P500,0
PSX,USA - S&P500,0
PNW,USA - S&P500,0
PNC,USA - S&P500,0
POOL,USA - S&P500,0
PPG,USA - S&P500,0
PPL,USA - S&P500,0
PFG,USA - S&P500,0
PG,USA - S&P500,0
PGR,USA - S&P500,0
PLD,USA - S&P500,0
PRU,USA - S&P500,0
PEG,USA - S&P500,0
PTC,USA - S&P500,0
PSA,USA - S&P500,0
PHM,USA - S&P500,0
QRVO,USA - S&P500,0
PWR,USA - S&P500,0
QCOM,USA - S&P500,0
DGX,USA - S&P500,0
RL,USA - S&P500,0
RJF,USA - S&P500,0
RTX,USA - S&P500,0
O,USA - S&P500,0
REG,USA - S&P500,0
REGN,USA - S&P500,0
RF,USA - S&P500,0
RSG,USA - S&P500,0
RMD,USA - S&P500,0
RVTY,USA - S&P500,0
ROK,USA - S&P500,0
ROL,USA - S&P500,0
ROP,USA - S&P500,0
ROST,USA - S&P500,0
RCL,USA - S&P500,0
SPGI,USA - S&P500,0
CRM,USA - S&P500,0
SBAC,USA - S&P500,0
SLB,USA - S&P500,0
STX,USA - S&P500,0
SEE,USA - S&P500,0
SRE,USA - S&P500,0
NOW,USA - S&P500,0
SHW,USA - S&P500,0
SPG,USA - S&P500,0
SWKS,USA - S&P500,0
SJM,USA - S&P500,0
SNA,USA - S&P500,0
SOLV,USA - S&P500,0
SO,USA - S&P500,0
LUV,USA - S&P500,0
SWK,USA - S&P500,0
SBUX,USA - S&P500,0
STT,USA - S&P500,0
STLD,USA - S&P500,0
STE,USA - S&P500,0
SYK,USA - S&P500,0
SMCI,USA - S&P500,0
SYF,USA - S&P500,0
SNPS,USA - S&P500,0
SYY,USA - S&P500,0
TMUS,USA - S&P500,0
TROW,USA - S&P500,0
TTWO,USA - S&P500,0
TPR,USA - S&P500,0
TRGP,USA - S&P500,0
TGT,USA - S&P500,0
TEL,USA - S&P500,0
TDY,USA - S&P500,0
TFX,USA - S&P500,0
TER,USA - S&P500,0
TSLA,USA - S&P500,0
TXN,USA - S&P500,0
TXT,USA - S&P500,0
TMO,USA - S&P500,0
TJX,USA - S&P500,0
TSCO,USA - S&P500,0
TT,USA - S&P500,0
TDG,USA - S&P500,0
TRV,USA - S&P500,0
TRMB,USA - S&P500,0
TFC,USA - S&P500,0
TYL,USA - S&P500,0
TSN,USA - S&P500,0
USB,USA - S&P500,0
UBER,USA - S&P500,0
UDR,USA - S&P500,0
ULTA,USA - S&P500,0
UNP,USA - S&P500,0
UAL,USA - S&P500,0
UPS,USA - S&P500,0
URI,USA - S&P500,0
UNH,USA - S&P500,0
UHS,USA - S&P500,0
VLO,USA - S&P500,0
VTR,USA - S&P500,0
VRSN,USA - S&P500,0
VRSK,USA - S&P500,0
VZ,USA - S&P500,0
VRTX,USA - S&P500,0
VLTO,USA - S&P500,0
V,USA - S&P500,0
VST,USA - S&P500,0
VFC,USA - S&P500,0
VTRS,USA - S&P500,0
VICI,USA - S&P500,0
VNO,USA - S&P500,0
VMC,USA - S&P500,0
WRB,USA - S&P500,0
GWW,USA - S&P500,0
WAB,USA - S&P500,0
WBA,USA - S&P500,0
WMT,USA - S&P500,0
DIS,USA - S&P500,0
WBD,USA - S&P500,0
WM,USA - S&P500,0
WAT,USA - S&P500,0
WEC,USA - S&P500,0
WFC,USA - S&P500,0
WELL,USA - S&P500,0
WST,USA - S&P500,0
WDC,USA - S&P500,0
WY,USA - S&P500,0
WHR,USA - S&P500,0
WMB,USA - S&P500,0
WTW,USA - S&P500,0
WYNN,USA - S&P500,0
XEL,USA - S&P500,0
XYL,USA - S&P500,0
YUM,USA - S&P500,0
ZBRA,USA - S&P500,0
ZBH,USA - S&P500,0
ZTS,USA - S&P500,0
AACI,USA - Russell2000,0
AACT,USA - Russell2000,0
AADI,USA - Russell2000,0
AAOI,USA - Russell2000,0
AAON,USA - Russell2000,0
AAWW,USA - Russell2000,0
ABCB,USA - Russell2000,0
ABCL,USA - Russell2000,0
ABMD,USA - Russell2000,0
ABST,USA - Russell2000,0
ACAD,USA - Russell2000,0
ACAX,USA - Russell2000,0
ACCD,USA - Russell2000,0
ACET,USA - Russell2000,0
ACIW,USA - Russell2000,0
ACLS,USA - Russell2000,0
ACMR,USA - Russell2000,0
ACNB,USA - Russell2000,0
ACVA,USA - Russell2000,0
ADAG,USA - Russell2000,0
AEIS,USA - Russell2000,0
AENZ,USA - Russell2000,0
AERC,USA - Russell2000,0
AERI,USA - Russell2000,0
AFBI,USA - Russell2000,0
AFCG,USA - Russell2000,0
AFRI,USA - Russell2000,0
AGBA,USA - Russell2000,0
AGCO,USA - Russell2000,0
AGEN,USA - Russell2000,0
AGMH,USA - Russell2000,0
AGRI,USA - Russell2000,0
AGYS,USA - Russell2000,0
AHCO,USA - Russell2000,0
AHPI,USA - Russell2000,0
AIMD,USA - Russell2000,0
AIRC,USA - Russell2000,0
AIRG,USA - Russell2000,0
AIRT,USA - Russell2000,0
AIXI,USA - Russell2000,0
AKBA,USA - Russell2000,0
AKRO,USA - Russell2000,0
AKTS,USA - Russell2000,0
ALCO,USA - Russell2000,0
ALEC,USA - Russell2000,0
ALGT,USA - Russell2000,0
ALIM,USA - Russell2000,0
